Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo1tckq0knzmusd8wevn7g3985m6md44q47ktjk6h,0.441017,3725.040767
osmo1nx3chh7ju3l28w8nsu2wpf3hhqfkg7lkqnhzn9,0.4,3356.885768
osmo1shwck77lgnle66sg9satc0r0vwu5avs69pugyk,0.394261,3330.117201
osmo123j9ewy8zjaanke6gr7q6c6rd4sqgmwxhu2xdf,0.318219,2687.830056
osmo15etx7m6a336fy7ss4cqzkep9xgujxdf606lch4,0.3,2533.943658
osmo15e8cremjk8wskmx56jpmxxdnpaq39j5c948z2u,0.262156,2214.295112
osmo1kxauuat4yn7fuxpunf9q0emxd5rkfjy2waaweq,0.203196,1716.290718
osmo1q2y2nkla825lh5y4u0agwy9qyyej2xpp2uu5qt,0.2,1689.295772
osmo1043plgfsa7urfpjy98g789zyl0l2zpw2v6hykd,0.2,1689.295772
osmo1r0hv5km20psawqzvu50975we7t3qacgk4yx35e,0.2,1689.295772
osmo1uh7qk3mxa0hd4f3rr55rq6jty8szf3herqrr5k,0.2,1689.295772
osmo106v0dgp92mwgerjph7aw84wwkutzuq4znz4d69,0.2,1689.295772
osmo18g7jfkn3ftmy79f7fy4qmxrg56t9m0v3hmdmua,0.160285,1353.843864
osmo1l384ye9hg6grjsdzcl3vkvvzgruwkm6k87y8nu,0.16,1351.436617
osmo1c3u4gpps9sw3w5np2sj6s50gds7cpm2hsfa7tq,0.156816,1324.543029
osmo1srddyxjlrcptylkcfefv774jhhafsvu4ulnrx0,0.15,1266.971829
osmo1gg2w04hgsa87zpl4h0zcjcmx8pdm9qgjf2jvl6,0.148,1250.078871
osmo1lrj7qrky05tmxp467wudru7jpnxexrn8cpnp0z,0.12,1013.577463
osmo1rlyt58v0z5309zar2jnana7f0xlenlp4uqnu0f,0.105609,892.024186
osmo1j0lke2jmuwxqh0zgs2kkk95stghl5l0rz083q0,0.101099,853.930566
osmo1wsmypayxznxng5zw7rzrj8nxs444sts6g9682h,0.1,844.647886
osmo1g5tn2xq4m0ch0c7nxdr4usf08aqfnu2urxd2f3,0.1,844.647886
osmo1g4r8tvxtd3xzv5kjq7yez6e2ej7phldy5pjw2t,0.1,844.647886
osmo1qmrazm0hgfk3u5x48achnjxq976y3my0q9j4h0,0.1,844.647886
osmo1mr4qww3rygcyqdme6yunhu8qrj2glufg970q0e,0.1,844.647886
osmo1ddpearj8yfzvvw5qrskk2xwjkus4rtrw0k6w3j,0.1,844.647886
